date,home_team,away_team,lambda_home,lambda_away,p_home,p_draw,p_away,top_score,top1_p,top3,mkt_home,mkt_draw,mkt_away,home_score,away_score,outcome_idx
2026-06-20,Tunisia,Japan,0.5787757710642591,1.9006342391865283,0.1,0.213,0.686,0-1,0.15484812063230716,0-1 (15%); 0-2 (15%); 1-1 (10%),0.137,0.232,0.631,,,
2026-06-21,Belgium,Iran,1.1586328228207055,0.9494302471237188,0.399,0.309,0.292,1-1,0.14001995607300757,1-1 (14%); 1-0 (13%); 0-0 (13%),0.671,0.207,0.122,,,
2026-06-21,New Zealand,Egypt,0.9123165685386189,1.2057668195793039,0.272,0.306,0.422,0-1,0.13867692477344518,0-1 (14%); 1-1 (14%); 0-0 (13%),0.173,0.237,0.59,,,
2026-06-21,Spain,Saudi Arabia,2.6554696910780233,0.41425479303803997,0.846,0.118,0.036,2-0,0.16371493409558566,2-0 (16%); 3-0 (14%); 1-0 (12%),0.867,0.095,0.038,,,
2026-06-21,Uruguay,Cape Verde,1.785358827030576,0.616145634503016,0.652,0.231,0.118,1-0,0.1569521722399027,1-0 (16%); 2-0 (14%); 1-1 (10%),0.642,0.232,0.127,,,
2026-06-22,France,Iraq,2.4050191023049927,0.457393891899663,0.804,0.146,0.05,2-0,0.16522543213103777,2-0 (17%); 1-0 (13%); 3-0 (13%),0.876,0.087,0.037,,,
2026-06-22,Norway,Senegal,1.3052982720442454,0.8427507113554399,0.468,0.297,0.235,1-0,0.1461995117260271,1-0 (15%); 1-1 (13%); 0-0 (12%),0.409,0.272,0.319,,,
2026-06-22,Argentina,Austria,1.8281013982197387,0.6017396236158279,0.665,0.224,0.111,1-0,0.15633062860959449,1-0 (16%); 2-0 (15%); 1-1 (10%),0.611,0.237,0.152,,,
2026-06-22,Jordan,Algeria,0.8282568340043028,1.3281400190542825,0.227,0.295,0.478,0-1,0.14762787307661107,0-1 (15%); 1-1 (13%); 0-0 (12%),0.163,0.236,0.601,,,
2026-06-23,Portugal,Uzbekistan,1.6543374443498728,0.6649435706441452,0.608,0.251,0.142,1-0,0.15751751686311088,1-0 (16%); 2-0 (13%); 1-1 (11%),0.77,0.151,0.079,,,
2026-06-23,Colombia,DR Congo,1.8701092065774272,0.5882228927740268,0.677,0.218,0.105,1-0,0.15553437829144254,1-0 (16%); 2-0 (15%); 1-1 (10%),0.647,0.226,0.127,,,
2026-06-23,England,Ghana,2.508410059185354,0.4385411560873625,0.823,0.134,0.044,2-0,0.1651666729107362,2-0 (17%); 3-0 (14%); 1-0 (13%),0.723,0.178,0.099,,,
2026-06-23,Panama,Croatia,0.8166350458069693,1.3470411941594957,0.221,0.293,0.486,0-1,0.14872891618106462,0-1 (15%); 1-1 (13%); 0-0 (12%),0.148,0.246,0.606,,,
