date,home_team,away_team,actual,top_score,exact_hit,in_top3,in_top5,within1,dir_hit,logloss,p_actual,total_goals,xg,rps,mkt_rps
2026-06-11,Mexico,South Africa,2-0,2-0,True,True,True,True,True,1.9267085750810875,0.1456267299742711,2,3.09,0.02188249999999999,0.054392499999999976
2026-06-11,South Korea,Czech Republic,2-1,1-0,False,False,False,True,True,2.526217140813887,0.07996092982314883,3,2.12,0.203185,0.25542800000000004
2026-06-12,Canada,Bosnia and Herzegovina,1-1,2-0,False,False,True,True,False,2.4401361203042025,0.08714898790781934,2,2.84,0.26632,0.1611385
2026-06-12,United States,Paraguay,4-1,1-1,False,False,False,False,False,4.82079722940812,0.008060358622005206,5,2.3899999999999997,0.29770100000000005,0.15821649999999998
2026-06-13,Qatar,Switzerland,1-1,0-2,False,False,True,True,False,2.5579445682358335,0.07746379847279163,2,2.7,0.29326250000000004,0.3203865
2026-06-13,Brazil,Morocco,1-1,1-0,False,True,True,True,False,1.9846771846791642,0.1374249698429458,2,2.13,0.129025,0.18230649999999998
2026-06-13,Haiti,Scotland,0-1,0-1,True,True,True,True,True,1.899429252099452,0.14965400956390523,1,2.16,0.15454099999999998,0.0841325
2026-06-13,Australia,Turkey,2-0,0-1,False,False,False,False,False,3.001768539502428,0.049699095785168665,2,2.12,0.35403399999999996,0.49494249999999995
2026-06-14,Germany,Curaçao,7-1,2-0,False,False,False,False,True,6.399107019075468,0.001663041674796422,8,2.7,0.030262499999999994,0.002192499999999995
2026-06-14,Ivory Coast,Ecuador,1-0,0-1,False,False,False,True,False,2.730203762832086,0.06520600175479553,1,2.2800000000000002,0.528125,0.3414325
2026-06-14,Netherlands,Japan,2-2,1-1,False,False,False,True,False,3.2927670242552742,0.03715090957550374,4,2.1,0.11859200000000002,0.14310499999999998
2026-06-14,Sweden,Tunisia,5-1,1-1,False,False,False,False,True,6.3068627866455085,0.0018237457533698232,6,2.0999999999999996,0.23440249999999999,0.147764
2026-06-15,Belgium,Egypt,1-1,1-0,False,True,True,True,False,2.031587559514334,0.1311271836102012,2,2.17,0.145625,0.181492
2026-06-15,Iran,New Zealand,2-2,1-0,False,False,False,False,False,3.393675000845074,0.033585024833370614,4,2.2,0.15544999999999998,0.15331599999999998
2026-06-15,Spain,Cape Verde,0-0,3-0,False,False,False,False,False,3.458425458778996,0.03147928845470767,0,3.5100000000000002,0.40969300000000003,0.39662800000000004
2026-06-15,Saudi Arabia,Uruguay,1-1,0-1,False,True,True,True,False,2.2852438707174443,0.10174924541889534,2,2.42,0.22605650000000002,0.23094799999999996
2026-06-16,France,Senegal,3-1,1-0,False,False,False,False,True,3.056159872050161,0.04706809612850042,4,2.2800000000000002,0.10010500000000001,0.06490249999999999
2026-06-16,Iraq,Norway,1-4,0-1,False,False,False,False,True,3.909746429600643,0.020045583383877547,5,2.31,0.08877600000000001,0.022920500000000003
2026-06-16,Argentina,Algeria,3-0,1-0,False,True,True,False,True,2.3136955500023446,0.09889510361693646,3,2.51,0.050417000000000024,0.051714500000000024
2026-06-16,Austria,Jordan,3-1,1-0,False,False,False,False,True,3.3171856053233566,0.03625472340568615,4,2.15,0.17197,0.040714
2026-06-17,Portugal,DR Congo,1-1,1-0,False,True,True,True,False,2.2852438707174443,0.10174924541889531,2,2.42,0.22605650000000002,0.2931345
2026-06-17,Uzbekistan,Colombia,1-3,0-1,False,False,False,False,True,2.9961610050750065,0.049978568018560515,4,2.33,0.0831125,0.0517145
2026-06-17,England,Croatia,4-2,1-0,False,False,False,False,True,5.289799236345206,0.005042772563520819,6,2.15,0.1668325,0.11384499999999996
2026-06-17,Ghana,Panama,1-0,0-1,False,False,False,True,False,2.8182878470452914,0.05970808461619867,1,2.32,0.554381,0.17988099999999996
2026-06-18,Czech Republic,South Africa,1-1,1-0,False,True,True,True,False,2.046858557718418,0.1291399527432142,2,2.3795716641189424,0.1508665,0.157777
2026-06-18,Mexico,South Korea,1-0,1-1,False,True,True,True,True,2.2165062694449684,0.10898922340933874,1,2.7376719120410398,0.11921299999999997,0.17317250000000003
2026-06-18,Switzerland,Bosnia and Herzegovina,4-1,1-0,False,False,False,False,True,3.5946312230800874,0.027470811909683254,5,2.5826922470617935,0.0714625,0.08421200000000001
2026-06-18,Canada,Qatar,6-0,2-0,False,False,False,False,True,4.1003266904929285,0.016567262150542095,6,3.2627408699396767,0.02506499999999999,0.03749800000000001
2026-06-19,Scotland,Morocco,0-1,1-1,False,True,True,True,True,2.0418394055185844,0.12978975518564553,1,2.367435279767616,0.15821649999999998,0.10596500000000002
2026-06-19,Brazil,Haiti,3-0,2-0,False,True,True,True,True,2.167297112870643,0.11448664356599447,3,2.884751694864688,0.031224999999999996,0.0092025
2026-06-19,United States,Australia,2-0,1-1,False,False,False,True,False,2.811314371019998,0.06012591267654182,2,2.6203077369190027,0.2805385,0.09776650000000002
2026-06-19,Turkey,Paraguay,0-1,1-1,False,False,True,True,False,2.340251224374247,0.09630344141939748,1,2.3192033653415836,0.331565,0.3856250000000001
2026-06-20,Germany,Ivory Coast,2-1,1-0,False,False,True,True,True,2.377146183271572,0.09281507713388014,3,2.4099170383377255,0.13038249999999998,0.0796185
2026-06-20,Ecuador,Curaçao,0-0,2-0,False,False,False,False,False,2.8897172292960884,0.05559193015837011,0,2.9514682093059506,0.30631250000000004,0.3664805
2026-06-20,Netherlands,Sweden,5-1,1-0,False,False,False,False,True,4.975272071290349,0.006906639585462999,6,2.4513761412618496,0.11063300000000004,0.11828649999999996
2026-06-20,Tunisia,Japan,0-4,0-2,False,False,False,False,True,2.955413560133023,0.052057127371114675,4,2.727351011275866,0.04704500000000001,0.08583650000000001
2026-06-21,Belgium,Iran,0-0,1-1,False,True,True,True,False,2.257118396929005,0.10465161509277453,0,2.318869376938867,0.128452,0.23415250000000004
2026-06-21,New Zealand,Egypt,1-3,1-1,False,False,False,False,True,3.270831523419429,0.037974836976746015,4,2.3298917269297155,0.19770049999999997,0.0904945
2026-06-21,Spain,Saudi Arabia,4-0,2-0,False,True,True,False,True,2.2670238549590342,0.10362011011044855,4,3.3766969325276697,0.009490000000000002,0.008698500000000001
2026-06-21,Uruguay,Cape Verde,2-2,2-0,False,False,False,False,False,3.456013559925477,0.03155530494963905,4,2.6416549076869513,0.23307700000000003,0.22473250000000003
2026-06-22,France,Iraq,3-0,2-0,False,True,True,True,True,2.021809684622582,0.13241561761445747,3,3.1486542936251216,0.01619600000000001,0.006784
2026-06-22,Norway,Senegal,3-2,1-1,False,False,False,False,True,3.914083067229938,0.019958841173383427,5,2.362853881739654,0.161729,0.19882000000000005
2026-06-22,Argentina,Austria,2-0,2-0,True,True,True,True,True,1.9687960630119845,0.1396248545919182,2,2.6728251240191234,0.054816499999999976,0.06757699999999998
2026-06-22,Jordan,Algeria,1-2,0-1,False,False,True,True,True,2.400126203148276,0.09070650512051487,3,2.372036538364444,0.1542385,0.0790325
2026-06-23,Portugal,Uzbekistan,5-0,1-0,False,False,False,False,True,4.34514699558873,0.012969601633411681,5,2.55120911649342,0.078992,0.013904500000000007
2026-06-23,Colombia,DR Congo,1-0,2-0,False,True,True,True,True,2.014312199518572,0.13341213274570823,1,2.7041653092865996,0.05010050000000001,0.08333
2026-06-23,England,Ghana,0-0,2-0,False,False,False,False,False,3.179895356790127,0.04159000700530332,0,3.2416463367999886,0.356968,0.32904050000000007
2026-06-23,Panama,Croatia,0-1,0-1,True,True,True,True,True,2.030762667908453,0.13123539394802777,1,2.3800438639631123,0.1488665,0.0722605
2026-06-24,Mexico,Czech Republic,3-0,2-0,False,True,True,True,True,2.312796532100251,0.0989840520626491,3,3.075363896899738,0.040693,
2026-06-24,South Africa,South Korea,1-0,0-1,False,False,False,True,False,2.9060961001701013,0.05468881331935862,1,2.5271203430280718,0.5520645,0.5093380000000001
2026-06-24,Canada,Switzerland,1-2,1-1,False,False,True,True,False,2.5258515488903037,0.07999016823763284,3,2.620481065201706,0.2825885,
2026-06-24,Bosnia and Herzegovina,Qatar,3-1,1-1,False,False,False,False,True,3.2515549549877725,0.03871396253535804,4,2.333788293994986,0.192961,0.05611450000000002
